Zip Code Name,Territory: ID,Territory: Territory Name,Territory Role,
99153,a003600000IBbnF,RM - AK/WA/OR,RM,
99154,a003600000IBbnF,RM - AK/WA/OR,RM,
99155,a003600000IBbnF,RM - AK/WA/OR,RM,
99228,a003600000IBbnF,RM - AK/WA/OR,RM,
99251,a003600000IBbnF,RM - AK/WA/OR,RM,
99252,a003600000IBbnF,RM - AK/WA/OR,RM,
99256,a003600000IBbnF,RM - AK/WA/OR,RM,
99258,a003600000IBbnF,RM - AK/WA/OR,RM,
99260,a003600000IBbnF,RM - AK/WA/OR,RM,
99301,a003600000IBbnF,RM - AK/WA/OR,RM,
99302,a003600000IBbnF,RM - AK/WA/OR,RM,
99320,a003600000IBbnF,RM - AK/WA/OR,RM,
99321,a003600000IBbnF,RM - AK/WA/OR,RM,
99322,a003600000IBbnF,RM - AK/WA/OR,RM,
99323,a003600000IBbnF,RM - AK/WA/OR,RM,
99324,a003600000IBbnF,RM - AK/WA/OR,RM,
99326,a003600000IBbnF,RM - AK/WA/OR,RM,
99328,a003600000IBbnF,RM - AK/WA/OR,RM,
99329,a003600000IBbnF,RM - AK/WA/OR,RM,
99330,a003600000IBbnF,RM - AK/WA/OR,RM,
99333,a003600000IBbnF,RM - AK/WA/OR,RM,
99335,a003600000IBbnF,RM - AK/WA/OR,RM,
99336,a003600000IBbnF,RM - AK/WA/OR,RM,
99337,a003600000IBbnF,RM - AK/WA/OR,RM,
99338,a003600000IBbnF,RM - AK/WA/OR,RM,
99341,a003600000IBbnF,RM - AK/WA/OR,RM,
99343,a003600000IBbnF,RM - AK/WA/OR,RM,
99344,a003600000IBbnF,RM - AK/WA/OR,RM,
99345,a003600000IBbnF,RM - AK/WA/OR,RM,
99346,a003600000IBbnF,RM - AK/WA/OR,RM,
99347,a003600000IBbnF,RM - AK/WA/OR,RM,
99348,a003600000IBbnF,RM - AK/WA/OR,RM,
99349,a003600000IBbnF,RM - AK/WA/OR,RM,
99350,a003600000IBbnF,RM - AK/WA/OR,RM,
99352,a003600000IBbnF,RM - AK/WA/OR,RM,
99353,a003600000IBbnF,RM - AK/WA/OR,RM,
99354,a003600000IBbnF,RM - AK/WA/OR,RM,
99356,a003600000IBbnF,RM - AK/WA/OR,RM,
99357,a003600000IBbnF,RM - AK/WA/OR,RM,
99359,a003600000IBbnF,RM - AK/WA/OR,RM,
99360,a003600000IBbnF,RM - AK/WA/OR,RM,
99361,a003600000IBbnF,RM - AK/WA/OR,RM,
99362,a003600000IBbnF,RM - AK/WA/OR,RM,
99363,a003600000IBbnF,RM - AK/WA/OR,RM,
99371,a003600000IBbnF,RM - AK/WA/OR,RM,
99401,a003600000IBbnF,RM - AK/WA/OR,RM,
99402,a003600000IBbnF,RM - AK/WA/OR,RM,
99403,a003600000IBbnF,RM - AK/WA/OR,RM,
98802,a003600000IBbnF,RM - AK/WA/OR,RM,
98807,a003600000IBbnF,RM - AK/WA/OR,RM,
98811,a003600000IBbnF,RM - AK/WA/OR,RM,
98812,a003600000IBbnF,RM - AK/WA/OR,RM,
98813,a003600000IBbnF,RM - AK/WA/OR,RM,
98814,a003600000IBbnF,RM - AK/WA/OR,RM,
98815,a003600000IBbnF,RM - AK/WA/OR,RM,
98816,a003600000IBbnF,RM - AK/WA/OR,RM,
98817,a003600000IBbnF,RM - AK/WA/OR,RM,
98819,a003600000IBbnF,RM - AK/WA/OR,RM,
98821,a003600000IBbnF,RM - AK/WA/OR,RM,
98822,a003600000IBbnF,RM - AK/WA/OR,RM,
98823,a003600000IBbnF,RM - AK/WA/OR,RM,
98824,a003600000IBbnF,RM - AK/WA/OR,RM,
98826,a003600000IBbnF,RM - AK/WA/OR,RM,
98827,a003600000IBbnF,RM - AK/WA/OR,RM,
98828,a003600000IBbnF,RM - AK/WA/OR,RM,
98829,a003600000IBbnF,RM - AK/WA/OR,RM,
98830,a003600000IBbnF,RM - AK/WA/OR,RM,
98831,a003600000IBbnF,RM - AK/WA/OR,RM,
98832,a003600000IBbnF,RM - AK/WA/OR,RM,
98833,a003600000IBbnF,RM - AK/WA/OR,RM,
98834,a003600000IBbnF,RM - AK/WA/OR,RM,
98836,a003600000IBbnF,RM - AK/WA/OR,RM,
98837,a003600000IBbnF,RM - AK/WA/OR,RM,
98840,a003600000IBbnF,RM - AK/WA/OR,RM,
98841,a003600000IBbnF,RM - AK/WA/OR,RM,
98843,a003600000IBbnF,RM - AK/WA/OR,RM,
98844,a003600000IBbnF,RM - AK/WA/OR,RM,
98845,a003600000IBbnF,RM - AK/WA/OR,RM,
98846,a003600000IBbnF,RM - AK/WA/OR,RM,
98847,a003600000IBbnF,RM - AK/WA/OR,RM,
98848,a003600000IBbnF,RM - AK/WA/OR,RM,
98850,a003600000IBbnF,RM - AK/WA/OR,RM,
98851,a003600000IBbnF,RM - AK/WA/OR,RM,
98852,a003600000IBbnF,RM - AK/WA/OR,RM,
98853,a003600000IBbnF,RM - AK/WA/OR,RM,
98855,a003600000IBbnF,RM - AK/WA/OR,RM,
98856,a003600000IBbnF,RM - AK/WA/OR,RM,
98857,a003600000IBbnF,RM - AK/WA/OR,RM,
98858,a003600000IBbnF,RM - AK/WA/OR,RM,
98859,a003600000IBbnF,RM - AK/WA/OR,RM,
98860,a003600000IBbnF,RM - AK/WA/OR,RM,
98862,a003600000IBbnF,RM - AK/WA/OR,RM,
98901,a003600000IBbnF,RM - AK/WA/OR,RM,
98902,a003600000IBbnF,RM - AK/WA/OR,RM,
98903,a003600000IBbnF,RM - AK/WA/OR,RM,
98904,a003600000IBbnF,RM - AK/WA/OR,RM,
98907,a003600000IBbnF,RM - AK/WA/OR,RM,
98908,a003600000IBbnF,RM - AK/WA/OR,RM,
98909,a003600000IBbnF,RM - AK/WA/OR,RM,
98920,a003600000IBbnF,RM - AK/WA/OR,RM,
98921,a003600000IBbnF,RM - AK/WA/OR,RM,
98922,a003600000IBbnF,RM - AK/WA/OR,RM,
98923,a003600000IBbnF,RM - AK/WA/OR,RM,
98925,a003600000IBbnF,RM - AK/WA/OR,RM,
98926,a003600000IBbnF,RM - AK/WA/OR,RM,
98930,a003600000IBbnF,RM - AK/WA/OR,RM,
98849,a003600000IBbnF,RM - AK/WA/OR,RM,
98932,a003600000IBbnF,RM - AK/WA/OR,RM,
98933,a003600000IBbnF,RM - AK/WA/OR,RM,
98934,a003600000IBbnF,RM - AK/WA/OR,RM,
98935,a003600000IBbnF,RM - AK/WA/OR,RM,
